DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DF;8;21854;BENTO DE ABREU;2;8
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;22160;JOAO BATISTA DE OLIVEIRA;5;25
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;24946;HENRIQUE MORATO PROF;2;5
APIAI;IPORANGA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14321;NASCIMENTO SATIRO DA SILVA;2;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29877;PURCINA ELISA DE ALMEIDA PROFA;1;3
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;24946;HENRIQUE MORATO PROF;2;11
ASSIS;ASSIS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;33182;FRANCISCA RIBEIRO MELLO FERNANDES PROFA;2;8
APIAI;RIBEIRAO BRANCO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;913571;PAULINA DE MORAIS PROFA;1;1
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;29774;JOSE AUGUSTO LOPES BORGES PROF;2;4
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;21885;ANTONIA EUGENIA MARTINS PROFA;1;2
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;22147;LEA DE FREITAS MONTEIRO PROFA;2;5
APIAI;RIBEIRAO BRANCO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;65456;JOAO PAULO II PAPA;1;2
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;48513;ALTINA MORAES SAMPAIO PROFA;1;6
ARARAQUARA;MATAO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;24946;HENRIQUE MORATO PROF;1;2
ASSIS;ASSIS;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;33182;FRANCISCA RIBEIRO MELLO FERNANDES PROFA;4;15
ASSIS;PARAGUACU PAULISTA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;33339;ISIDORO BAPTISTA;2;5
AVARE;AVARE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;14461;PAULO ARAUJO NOVAES DOUTOR;1;1
ASSIS;ASSIS;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;33236;LOURDES PEREIRA PROFA;2;9
ASSIS;CANDIDO MOTA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;33157;CLOTILDE DE CASTRO BARREIRA PROFA;5;27
ARACATUBA;GUARARAPES;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;907248;AIMONE SALA PROF;1;3
